hour,column,missing_count,total_rows,missing_rate,missing_percent
0,pty,37557.0,4605300.0,0.008155169044361931,0.8155169044361931
1,pty,249916.0,4605300.0,0.05426704014939309,5.426704014939309
2,pty,36678.0,4498200.0,0.008153928237961851,0.8153928237961852
3,pty,38455.0,4712400.0,0.008160385366267718,0.8160385366267718
4,pty,38654.0,4712400.0,0.008202614379084967,0.8202614379084967
5,pty,38531.0,4712400.0,0.008176513029454206,0.8176513029454207
6,pty,38626.0,4712400.0,0.008196672608437315,0.8196672608437314
7,pty,41489.0,4712400.0,0.008804218657159834,0.8804218657159835
8,pty,38297.0,4712400.0,0.00812685680332739,0.812685680332739
9,pty,38526.0,4712400.0,0.00817545199898141,0.817545199898141
10,pty,38469.0,4712400.0,0.008163356251591546,0.8163356251591546
11,pty,38507.0,4712400.0,0.00817142008318479,0.8171420083184789
12,pty,40095.0,4926600.0,0.008138472780416515,0.8138472780416515
13,pty,40384.0,4926600.0,0.008197133926034182,0.8197133926034182
14,pty,39270.0,4819500.0,0.008148148148148147,0.8148148148148148
15,pty,39375.0,4819500.0,0.008169934640522876,0.8169934640522877
16,pty,41364.0,5033700.0,0.008217414625424638,0.8217414625424638
17,pty,40362.0,4926600.0,0.008192668371696505,0.8192668371696505
18,pty,39307.0,4819500.0,0.008155825293080196,0.8155825293080196
19,pty,145569.0,4819500.0,0.030204170557111734,3.0204170557111736
20,pty,38492.0,4712400.0,0.008168236991766404,0.8168236991766404
21,pty,37491.0,4605300.0,0.008140837730441013,0.8140837730441013
22,pty,37459.0,4605300.0,0.008133889214600568,0.8133889214600568
23,pty,37492.0,4605300.0,0.008141054871561028,0.8141054871561029
0,reh,44120.0,4605300.0,0.009580266215013136,0.9580266215013136
1,reh,255793.0,4605300.0,0.055543178511714766,5.554317851171477
2,reh,43277.0,4498200.0,0.009620959494909074,0.9620959494909074
3,reh,44990.0,4712400.0,0.009547152194211019,0.9547152194211018
4,reh,44582.0,4712400.0,0.00946057210763093,0.946057210763093
5,reh,44409.0,4712400.0,0.009423860453272218,0.9423860453272217
6,reh,44631.0,4712400.0,0.009470970206264324,0.9470970206264324
7,reh,47706.0,4712400.0,0.010123503947033359,1.0123503947033359
8,reh,44707.0,4712400.0,0.00948709786945081,0.948709786945081
9,reh,45059.0,4712400.0,0.009561794414735592,0.9561794414735592
10,reh,45815.0,4712400.0,0.009722222222222222,0.9722222222222222
11,reh,45913.0,4712400.0,0.009743018419489007,0.9743018419489007
12,reh,47815.0,4926600.0,0.009705476393455934,0.9705476393455934
13,reh,47990.0,4926600.0,0.009740997848414729,0.9740997848414729
14,reh,46947.0,4819500.0,0.009741051976346095,0.9741051976346095
15,reh,47156.0,4819500.0,0.00978441747069198,0.9784417470691981
16,reh,49466.0,5033700.0,0.009826966247491905,0.9826966247491905
17,reh,48024.0,4926600.0,0.009747899159663866,0.9747899159663866
18,reh,47201.0,4819500.0,0.009793754538852579,0.9793754538852579
19,reh,153180.0,4819500.0,0.03178338001867414,3.178338001867414
20,reh,45479.0,4712400.0,0.009650920974450387,0.9650920974450387
21,reh,44416.0,4605300.0,0.00964453998653725,0.964453998653725
22,reh,44054.0,4605300.0,0.00956593490109222,0.956593490109222
23,reh,43881.0,4605300.0,0.009528369487329815,0.9528369487329815
0,rn1,58709.0,4605300.0,0.01274813801489588,1.274813801489588
1,rn1,253815.0,4605300.0,0.05511367337632728,5.511367337632728
2,rn1,40779.0,4498200.0,0.0090656262505002,0.90656262505002
3,rn1,42835.0,4712400.0,0.009089848060436296,0.9089848060436296
4,rn1,42871.0,4712400.0,0.00909748747984042,0.909748747984042
5,rn1,42578.0,4712400.0,0.009035311094134623,0.9035311094134623
6,rn1,43210.0,4712400.0,0.009169425345895934,0.9169425345895934
7,rn1,45727.0,4712400.0,0.009703548085901027,0.9703548085901027
8,rn1,42428.0,4712400.0,0.009003480179950769,0.9003480179950769
9,rn1,42574.0,4712400.0,0.009034462269756387,0.9034462269756387
10,rn1,42783.0,4712400.0,0.009078813343519225,0.9078813343519225
11,rn1,42807.0,4712400.0,0.009083906289788642,0.9083906289788642
12,rn1,45264.0,4926600.0,0.00918767507002801,0.9187675070028011
13,rn1,44756.0,4926600.0,0.009084561360776195,0.9084561360776195
14,rn1,43842.0,4819500.0,0.009096794273264862,0.9096794273264862
15,rn1,43855.0,4819500.0,0.009099491648511256,0.9099491648511256
16,rn1,45854.0,5033700.0,0.009109402626298746,0.9109402626298746
17,rn1,44821.0,4926600.0,0.009097755044046604,0.9097755044046604
18,rn1,43545.0,4819500.0,0.009035169623404917,0.9035169623404917
19,rn1,149926.0,4819500.0,0.031108206245461147,3.1108206245461147
20,rn1,42805.0,4712400.0,0.009083481877599525,0.9083481877599525
21,rn1,41637.0,4605300.0,0.009041104814018631,0.9041104814018631
22,rn1,41794.0,4605300.0,0.009075195969860813,0.9075195969860813
23,rn1,42042.0,4605300.0,0.009129046967624259,0.9129046967624258
0,t1h,43897.0,4605300.0,0.009531843745250039,0.9531843745250038
1,t1h,256483.0,4605300.0,0.05569300588452435,5.569300588452435
2,t1h,43201.0,4498200.0,0.009604063847761326,0.9604063847761326
3,t1h,45557.0,4712400.0,0.009667473049825992,0.9667473049825992
4,t1h,45368.0,4712400.0,0.009627366097954334,0.9627366097954334
5,t1h,45362.0,4712400.0,0.009626092861386978,0.9626092861386979
6,t1h,45187.0,4712400.0,0.009588956794839149,0.9588956794839149
7,t1h,47970.0,4712400.0,0.010179526355996945,1.0179526355996944
8,t1h,45322.0,4712400.0,0.009617604617604617,0.9617604617604617
9,t1h,45615.0,4712400.0,0.009679781003310415,0.9679781003310415
10,t1h,44500.0,4712400.0,0.00944317120787709,0.944317120787709
11,t1h,44976.0,4712400.0,0.00954418130888719,0.9544181308887191
12,t1h,47056.0,4926600.0,0.009551414768806074,0.9551414768806074
13,t1h,46848.0,4926600.0,0.009509194982340763,0.9509194982340763
14,t1h,44951.0,4819500.0,0.0093269011308227,0.93269011308227
15,t1h,45489.0,4819500.0,0.009438530967942733,0.9438530967942733
16,t1h,47844.0,5033700.0,0.009504738065438941,0.9504738065438941
17,t1h,47000.0,4926600.0,0.00954004790321926,0.954004790321926
18,t1h,46292.0,4819500.0,0.009605145762008507,0.9605145762008507
19,t1h,152530.0,4819500.0,0.03164851125635439,3.1648511256354395
20,t1h,45412.0,4712400.0,0.00963670316611493,0.963670316611493
21,t1h,44319.0,4605300.0,0.009623477297895902,0.9623477297895903
22,t1h,44411.0,4605300.0,0.00964345428093718,0.964345428093718
23,t1h,44291.0,4605300.0,0.009617397346535514,0.9617397346535513
0,uuu,44568.0,4605300.0,0.009677545436779364,0.9677545436779363
1,uuu,256483.0,4605300.0,0.05569300588452435,5.569300588452435
2,uuu,43362.0,4498200.0,0.00963985594237695,0.963985594237695
3,uuu,45899.0,4712400.0,0.00974004753416518,0.974004753416518
4,uuu,45509.0,4712400.0,0.009657287157287158,0.9657287157287158
5,uuu,45291.0,4712400.0,0.009611026228673287,0.9611026228673287
6,uuu,46079.0,4712400.0,0.009778244631185807,0.9778244631185807
7,uuu,48874.0,4712400.0,0.010371360665478313,1.0371360665478313
8,uuu,45564.0,4712400.0,0.009668958492487905,0.9668958492487905
9,uuu,45306.0,4712400.0,0.009614209320091672,0.9614209320091672
10,uuu,45715.0,4712400.0,0.00970100161276632,0.9701001612766319
11,uuu,45239.0,4712400.0,0.009599991511756218,0.9599991511756217
12,uuu,47222.0,4926600.0,0.009585109406081272,0.9585109406081272
13,uuu,47016.0,4926600.0,0.009543295579101206,0.9543295579101206
14,uuu,46424.0,4819500.0,0.009632534495279593,0.9632534495279593
15,uuu,45818.0,4819500.0,0.00950679531071688,0.9506795310716879
16,uuu,48363.0,5033700.0,0.009607843137254901,0.9607843137254901
17,uuu,47052.0,4926600.0,0.009550602849835586,0.9550602849835585
18,uuu,45997.0,4819500.0,0.009543936092955702,0.9543936092955702
19,uuu,152539.0,4819500.0,0.03165037866998651,3.165037866998651
20,uuu,45076.0,4712400.0,0.009565401918343095,0.9565401918343095
21,uuu,44038.0,4605300.0,0.009562460643171997,0.9562460643171997
22,uuu,44040.0,4605300.0,0.009562894925412025,0.9562894925412025
23,uuu,44094.0,4605300.0,0.009574620545892776,0.9574620545892776
0,vec,41952.0,4605300.0,0.009109504266823009,0.9109504266823009
1,vec,254068.0,4605300.0,0.05516861007969079,5.516861007969079
2,vec,41076.0,4498200.0,0.009131652661064426,0.9131652661064426
3,vec,42886.0,4712400.0,0.009100670571258806,0.9100670571258805
4,vec,42410.0,4712400.0,0.008999660470248706,0.8999660470248706
5,vec,42556.0,4712400.0,0.009030642560054324,0.9030642560054324
6,vec,42531.0,4712400.0,0.009025337407690348,0.9025337407690348
7,vec,45396.0,4712400.0,0.009633307868601986,0.9633307868601986
8,vec,42805.0,4712400.0,0.009083481877599525,0.9083481877599525
9,vec,42969.0,4712400.0,0.009118283677107207,0.9118283677107206
10,vec,43125.0,4712400.0,0.009151387827858416,0.9151387827858416
11,vec,42697.0,4712400.0,0.009060563619387148,0.9060563619387149
12,vec,44836.0,4926600.0,0.00910079974018593,0.910079974018593
13,vec,44600.0,4926600.0,0.00905289652092721,0.905289652092721
14,vec,43746.0,4819500.0,0.009076875194522254,0.9076875194522254
15,vec,44006.0,4819500.0,0.00913082269945015,0.9130822699450151
16,vec,45896.0,5033700.0,0.009117746389335876,0.9117746389335876
17,vec,44392.0,4926600.0,0.009010676734461901,0.9010676734461901
18,vec,43824.0,4819500.0,0.009093059446000622,0.9093059446000622
19,vec,149882.0,4819500.0,0.031099076667704117,3.109907666770412
20,vec,42755.0,4712400.0,0.009072871572871573,0.9072871572871573
21,vec,42159.0,4605300.0,0.009154452478665885,0.9154452478665885
22,vec,41812.0,4605300.0,0.009079104510021063,0.9079104510021063
23,vec,41555.0,4605300.0,0.009023299242177492,0.9023299242177492
0,vvv,45918.0,4605300.0,0.009970685948798123,0.9970685948798124
1,vvv,257791.0,4605300.0,0.055977026469502526,5.597702646950252
2,vvv,45044.0,4498200.0,0.010013783291094215,1.0013783291094214
3,vvv,47806.0,4712400.0,0.010144724556489262,1.0144724556489262
4,vvv,47412.0,4712400.0,0.010061115355233002,1.0061115355233001
5,vvv,47131.0,4712400.0,0.010001485442661913,1.0001485442661913
6,vvv,47562.0,4712400.0,0.010092946269416857,1.0092946269416858
7,vvv,50522.0,4712400.0,0.010721076309311604,1.0721076309311603
8,vvv,47146.0,4712400.0,0.010004668534080299,1.0004668534080299
9,vvv,47546.0,4712400.0,0.010089550971903912,1.0089550971903913
10,vvv,47283.0,4712400.0,0.010033740769034887,1.0033740769034887
11,vvv,47407.0,4712400.0,0.010060054324760207,1.0060054324760208
12,vvv,49248.0,4926600.0,0.00999634636463281,0.999634636463281
13,vvv,49369.0,4926600.0,0.010020906913490033,1.0020906913490033
14,vvv,48020.0,4819500.0,0.009963689179375453,0.9963689179375453
15,vvv,47804.0,4819500.0,0.009918871252204586,0.9918871252204586
16,vvv,49923.0,5033700.0,0.009917754335776864,0.9917754335776864
17,vvv,48768.0,4926600.0,0.0098989160881744,0.9898916088174401
18,vvv,48047.0,4819500.0,0.009969291420271812,0.9969291420271812
19,vvv,154047.0,4819500.0,0.031963274198568314,3.196327419856831
20,vvv,46872.0,4712400.0,0.009946524064171123,0.9946524064171123
21,vvv,46579.0,4605300.0,0.01011421622912731,1.011421622912731
22,vvv,46497.0,4605300.0,0.01009641065728617,1.009641065728617
23,vvv,46095.0,4605300.0,0.010009119927040584,1.0009119927040584
0,wsd,48754.0,4605300.0,0.010586498165157537,1.0586498165157536
1,wsd,263953.0,4605300.0,0.05731505005102816,5.731505005102816
2,wsd,48327.0,4498200.0,0.010743630785647593,1.0743630785647593
3,wsd,50752.0,4712400.0,0.010769883711060182,1.0769883711060182
4,wsd,51150.0,4712400.0,0.010854341736694677,1.0854341736694677
5,wsd,49628.0,4712400.0,0.010531364060775825,1.0531364060775825
6,wsd,52014.0,4712400.0,0.011037687802393685,1.1037687802393685
7,wsd,56844.0,4712400.0,0.012062643239113827,1.2062643239113828
8,wsd,114678.0,4712400.0,0.0243353705118411,2.43353705118411
9,wsd,47745.0,4712400.0,0.010131779984721161,1.013177998472116
10,wsd,45108.0,4712400.0,0.009572192513368985,0.9572192513368984
11,wsd,45251.0,4712400.0,0.009602537984890925,0.9602537984890925
12,wsd,46621.0,4926600.0,0.00946311858076564,0.946311858076564
13,wsd,45776.0,4926600.0,0.009291600698250314,0.9291600698250314
14,wsd,45177.0,4819500.0,0.009373793962029257,0.9373793962029257
15,wsd,44876.0,4819500.0,0.009311339350555036,0.9311339350555037
16,wsd,47759.0,5033700.0,0.009487851878339988,0.9487851878339988
17,wsd,47505.0,4926600.0,0.00964255267324321,0.964255267324321
18,wsd,48983.0,4819500.0,0.010163502438012242,1.0163502438012242
19,wsd,152740.0,4819500.0,0.03169208424110385,3.169208424110385
20,wsd,45814.0,4712400.0,0.009722010016127663,0.9722010016127663
21,wsd,47061.0,4605300.0,0.010218878248974009,1.0218878248974008
22,wsd,47268.0,4605300.0,0.010263826460816885,1.0263826460816885
23,wsd,48715.0,4605300.0,0.010578029661476994,1.0578029661476993
0,x,0.0,4605300.0,0.0,0.0
1,x,0.0,4605300.0,0.0,0.0
2,x,0.0,4498200.0,0.0,0.0
3,x,0.0,4712400.0,0.0,0.0
4,x,0.0,4712400.0,0.0,0.0
5,x,0.0,4712400.0,0.0,0.0
6,x,0.0,4712400.0,0.0,0.0
7,x,0.0,4712400.0,0.0,0.0
8,x,0.0,4712400.0,0.0,0.0
9,x,0.0,4712400.0,0.0,0.0
10,x,0.0,4712400.0,0.0,0.0
11,x,0.0,4712400.0,0.0,0.0
12,x,0.0,4926600.0,0.0,0.0
13,x,0.0,4926600.0,0.0,0.0
14,x,0.0,4819500.0,0.0,0.0
15,x,0.0,4819500.0,0.0,0.0
16,x,0.0,5033700.0,0.0,0.0
17,x,0.0,4926600.0,0.0,0.0
18,x,0.0,4819500.0,0.0,0.0
19,x,0.0,4819500.0,0.0,0.0
20,x,0.0,4712400.0,0.0,0.0
21,x,0.0,4605300.0,0.0,0.0
22,x,0.0,4605300.0,0.0,0.0
23,x,0.0,4605300.0,0.0,0.0
0,y,0.0,4605300.0,0.0,0.0
1,y,0.0,4605300.0,0.0,0.0
2,y,0.0,4498200.0,0.0,0.0
3,y,0.0,4712400.0,0.0,0.0
4,y,0.0,4712400.0,0.0,0.0
5,y,0.0,4712400.0,0.0,0.0
6,y,0.0,4712400.0,0.0,0.0
7,y,0.0,4712400.0,0.0,0.0
8,y,0.0,4712400.0,0.0,0.0
9,y,0.0,4712400.0,0.0,0.0
10,y,0.0,4712400.0,0.0,0.0
11,y,0.0,4712400.0,0.0,0.0
12,y,0.0,4926600.0,0.0,0.0
13,y,0.0,4926600.0,0.0,0.0
14,y,0.0,4819500.0,0.0,0.0
15,y,0.0,4819500.0,0.0,0.0
16,y,0.0,5033700.0,0.0,0.0
17,y,0.0,4926600.0,0.0,0.0
18,y,0.0,4819500.0,0.0,0.0
19,y,0.0,4819500.0,0.0,0.0
20,y,0.0,4712400.0,0.0,0.0
21,y,0.0,4605300.0,0.0,0.0
22,y,0.0,4605300.0,0.0,0.0
23,y,0.0,4605300.0,0.0,0.0
